"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_satisfice.nlogo"
"satisfice"
"02/23/2016 06:07:46:556 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","color-patches-by","failure-min","wealth-increase-threshold","sense-radius","vision-mode","profit-multiplier","max-ticks","num-investors","risk-multiplier","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [current-utility] of turtles"
"95","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","69550.16752687316","386.7698844941852"
"90","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","80866.13748175268","334.6698610598634"
"97","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","89564.36123470124","344.61224084346924"
"98","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","87547.84117450479","188.53423148193477"
"100","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","89674.66570018945","14.117370974012482"
"101","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","86394.96616724426","315.11228149266356"
"99","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","79028.27216033803","113.4859887177337"
"103","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","83178.29730731278","231.31359707081552"
"104","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","84839.59296914504","187.67861836495905"
"105","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","80482.2874690834","143.74913417971447"
"1","0.1","""exp utility""","0.01","0","10","""neighbors""","1","25","100","1","""wealth""","24","92552.70349167738","246.07905510742165"
"106","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","85387.36631722002","110.07713502251933"
"102","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","68282.4420344572","506.2451364889823"
"109","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","68405.02912561814","409.080012667809"
