"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_for_ch_11.nlogo"
"vary-risk"
"02/23/2016 04:30:19:519 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"105","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","116577.56501218013","7328.244384920935","0.04477510734687679"
"104","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","92009.72508519495","7188.072081615113","0.049589312710554126"
"106","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","105469.2094071154","7472.998323309999","0.05083638182980812"
"80","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","117272.1012928166","7051.723557326031","0.0427788453765713"
"107","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","102874.22433981946","7268.6461734403165","0.05227485024059836"
"109","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","105754.38259765078","6876.8358216141605","0.04378772838126729"
"108","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","98536.70962028866","7061.794707721787","0.047067568855032216"
"110","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","100885.720285573","7199.066886820909","0.048413689344608365"
"111","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","102861.74342815763","7075.44031658649","0.04951729732692365"
"112","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","118315.94795636891","6895.532329759955","0.04408980355559268"
"115","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","113626.22952286911","7229.0046216718865","0.04767219441125321"
"113","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","101576.27358538932","7137.449291781313","0.04775104370206078"
"116","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","113312.31072015985","7042.427266967054","0.046059462720152274"
"117","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","94926.71892709314","6804.940260389037","0.0509569965863909"
"118","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","94515.95512384668","7200.467375838369","0.04856475839824836"
"121","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","98954.95371054905","7343.024443244305","0.05357801122657002"
"114","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","116537.35382575939","7048.430435405335","0.045958835295181084"
"120","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","113081.38174395467","7213.663457139783","0.04696562591386337"
"119","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","102098.16954330687","7173.6652671979655","0.04644079501723929"
"123","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","104684.6651226997","7023.991672804176","0.045994963931574845"
"124","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","109677.34816897199","7188.983653696154","0.0516804796848937"
"125","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","104839.90697769467","6985.8134466664915","0.048982635606761055"
"122","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","89996.37127124523","7477.081564361933","0.05553177878243079"
"127","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","114546.3449222602","7076.064114055387","0.04511316396832735"
"128","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","107442.58932860222","6920.896613423636","0.04825154591529981"
"129","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","99821.1968878113","7075.439851714505","0.04949671866024507"
"132","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","102991.72129576548","7088.517262506915","0.05327068368078043"
"126","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","99749.95115581082","6844.070198831966","0.0451049491992368"
"130","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","102133.43697498937","7003.519481583892","0.05325998255906965"
"131","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","100194.01925992612","6948.20632052372","0.05260668544371927"
"134","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","116250.25304329043","6853.159998718165","0.04436560889572068"
"133","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","106687.47347058367","6814.292048369841","0.053181969864606604"
"135","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","117733.81743839357","6748.850715018422","0.04749381115333546"
"136","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","109516.50661093534","6620.356707618265","0.04516274852410437"
"138","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","114308.7391206913","7183.050906769955","0.04642876711929677"
"140","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","101351.57275476101","6794.184656037704","0.047516856548796456"
"137","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","95081.18761980878","6924.627716359247","0.05587241549492386"
"139","25","""neighbors""","10","0.01","1.6","""exp utility""","100","1","0.1","""wealth""","24","114910.10934479156","7510.58450649051","0.04916767216685856"
"141","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","105663.6373016998","7134.917122301422","0.05011163699268315"
"143","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","85137.60596189402","6899.119321892689","0.05023996449107972"
"142","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","102950.22712145312","7263.34302130272","0.04913079378360177"
"144","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","110261.66549388504","7191.090395569378","0.05075391904066482"
"145","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","101729.60730705831","7190.074062887988","0.0491328189113078"
"146","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","97210.64936844488","7046.806991663746","0.04758207996723224"
"147","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","104701.73046586901","7188.9090237686805","0.05450875794790276"
"148","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","89671.56287192459","7039.59306276936","0.054129172450411156"
"149","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","98359.35090421248","6894.787245008602","0.054429670135498605"
"151","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","105625.4435130385","7098.33525555746","0.048939033410886526"
"153","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","103949.88148761542","7171.680040006653","0.052072780247326665"
"150","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","103274.75125060548","7047.3061294668005","0.051097874343240396"
"152","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","123778.89847786663","6517.7255399515925","0.04429726137338667"
"154","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","99447.50773402498","7015.462157752167","0.053062480378110885"
"157","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","111379.22699970951","7411.272856771041","0.051069395894009204"
"156","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","96540.34842958415","7323.601290870321","0.052560226939805325"
"155","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","98076.50878003858","6633.758890020891","0.05261535379888566"
"158","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","113099.3663968233","6926.960400148735","0.04539878057260569"
"159","25","""neighbors""","10","0.01","1.7","""exp utility""","100","1","0.1","""wealth""","24","102261.40540075692","7096.768229708264","0.054821561656078634"
