"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor.nlogo"
"vary-vision-and-investors"
"02/18/2016 09:01:54:816 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"174","0.1","""red""","""radius""","0.01","""exp utility""","10","5","25","24","186894.2415678092"
"176","0.1","""red""","""radius""","0.01","""exp utility""","10","5","25","24","157472.0122454458"
"177","0.1","""red""","""radius""","0.01","""exp utility""","10","5","25","24","167835.3588264431"
"175","0.1","""red""","""radius""","0.01","""exp utility""","10","5","25","24","189705.11408281323"
"178","0.1","""red""","""radius""","0.01","""exp utility""","10","5","25","24","174437.70019847964"
"179","0.1","""red""","""radius""","0.01","""exp utility""","10","5","25","24","183743.0649264108"
"180","0.1","""red""","""radius""","0.01","""exp utility""","10","5","25","24","192542.4637200824"
"181","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","181894.299858644"
"182","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","208558.2084601994"
"184","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","198671.25496161904"
"183","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","181054.87469033262"
"185","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","160549.0238953756"
"186","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","172360.18951188558"
"187","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","195805.02480405505"
"188","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","217012.56653617686"
"190","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","210203.68323462637"
"189","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","212890.68793994133"
"192","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","216939.63711745813"
"191","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","174782.53346256164"
"193","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","203760.86531793728"
"195","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","124972.14710110177"
"196","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","179272.51242917706"
"197","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","202149.04058944486"
"194","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","164701.35607137418"
"198","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","171959.18729648847"
"199","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","141978.9631090861"
"200","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","215196.0832519656"
"201","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","187851.75703894644"
"203","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","170681.68168616053"
"202","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","209938.95236106"
"204","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","180536.49563980283"
"205","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","211185.56231661854"
"206","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","162026.96768043938"
"208","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","213799.85996192912"
"207","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","173895.01769121096"
"209","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","157865.97961254852"
"210","0.1","""red""","""radius""","0.01","""exp utility""","10","6","25","24","165713.38507462572"
"211","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","181185.28989587788"
"213","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","187858.28358925733"
"212","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","220147.6381149452"
"214","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","209718.93313866822"
"215","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","181315.63892420364"
"217","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","174049.58208284812"
"216","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","181360.2305881208"
"218","0.1","""red""","""radius""","0.01","""exp utility""","10","7","25","24","189908.30264396584"
