"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_for_ch_11.nlogo"
"vary-profit"
"02/23/2016 04:29:22:553 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"88","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","84674.53598100209","5243.801621045457","0.030970330049911725"
"89","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","93261.17432895316","5253.5335197403865","0.03313753027710449"
"90","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","90315.83353609605","5357.846115329297","0.03415447974015699"
"93","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","85450.40090573732","5306.524841068378","0.03538072540500961"
"91","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","91274.5122378152","5225.603072695572","0.03369479124369583"
"92","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","89370.94754126131","5092.4897963269295","0.03397397444556103"
"95","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","88479.89001887543","5087.655422657042","0.03445577858483483"
"94","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","86090.85583478598","5022.212932347305","0.030613002248041928"
"96","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","87427.95437857826","5198.816250508668","0.03708389991787971"
"56","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","76107.5144259125","4340.889604285581","0.037478636190107203"
"98","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","83106.34932389224","5011.684528074166","0.03615685744457787"
